https://www.youtube.com/watch?v=LWhzgqFpxDs
A National Park's Frigid Winter (Full Episode) | Wild Yellowstone | Nat Geo Animals
Nature

14s	One wolf pack.
25:55	Soon almost everything will freeze.
25:58	Without open water, the otters will be in trouble.
26:07	Yellowstone even tests its largest animals.
26:12	Bison have lived here since just after last Ice Age.
26:16	They've survived 10,000 Yellowstone winters.
26:21	But it's this calf's first.
26:28	Winter forces them to search for food.
26:42	The calf must keep up.
26:50	The bison are not heading to greener pastures,
26:55	but warmer ones.
27:03	Yellowstone's geyser basins stay open all year.
27:09	Thanks to the chamber of molten magma boiling under the park.
27:14	Beyond the thermals, the freeze is happening fast.
27:28	Ponds are first to set,
27:32	locking the beaver lodge in ice.
27:38	Then slower flowing streams and rivers.
27:45	Then the faster ones.
27:50	Winter even tames the Rockies' largest waterfall...
28:00	Lower Yellowstone Falls.
28:06	The otters are now in crisis mode.
28:10	There's only one hole left in the ice.
28:17	And it's freezing up, too.
28:22	They need to leave and find a new home.
28:28	But Mom is cautious.
28:31	With a coyote on the prowl,
28:34	she'd rather hold tight here for now.
28:41	But the pup's natural instinct is to wander.
28:49	This could be a fatal mistake.
29:03	The young otter is caught out.
29:09	His eyes are designed for life underwater.
29:14	Out here, he can barely see.
29:27	He's lost...
29:32	...and alone.
29:51	Halfway through their trek,
29:53	the bison mother is breaking trail...
29:58	...and struggling.
30:05	Her calf can only keep up by walking in her footsteps.
30:20	At its worst, Yellowstone's bitter winter
30:23	can kill hundreds of bison.
30:31	At last, a sign of hope.
30:40	Warm water is keeping this river from freezing.
30:44	The geyser basin must be ahead.
30:51	So close...
30:54	But Yellowstone is not done yet.
30:59	Enter the lone wolf.
31:02	Hungry...
31:04	and desperate.
31:13	One solitary wolf
31:15	against a thousand-pound devoted mother.
31:22	The wolf will try to lead her away,
31:26	then go for the calf.
31:44	But it won't work.
31:47	Mom has seen it all before.
32:13	The mother otter has not yet found her pup.
32:25	He's lost, further down the frozen river.
32:34	Too far for Mom to hear his calls.
32:44	But the coyote hears him.
32:53	Only the deep snow keeps him at bay.
33:00	Mom finally picks up a faint scent.
33:06	The pup's survival depends on who reaches him first.
33:22	At last, Mom hears her son.
33:32	And he hears her.
33:40	No time for greetings.
33:48	The coyote is closing in.
33:52	They need to get to open water quickly.
34:00	And they know just how to do it.
34:13	Escape at last!
34:25	In midwinter, the night sky puts on a show.
34:57	But clear skies can descend into deadly cold.
35:04	Temperatures can drop below minus 60 degrees.
35:17	Stealing energy from all
35:20	and finishing off the weak,
35:25	the savage cold is Yellowstone's biggest killer.
35:32	These winterkills help many others survive.
35:40	Finally, the hungry coyote catches a break.
35:47	A bison carcass.
35:52	He can't let his guard down.
35:54	Wolves have been feeding here.
36:03	Fresh meat is hard to leave.
36:06	But you don't mess with wolves.
36:09	If they find him, they'll tear him apart.
36:19	With wolves on the prowl,
36:21	the coyote better make this meal 'to go.'
36:28	Easy come...
36:33	...easy go.
36:46	The bison herd's long journey is coming to an end.
36:51	They're close to the geyser basin.
36:57	And now, for the first time, the calf can see a land of fire.
37:06	The warmth draws them in.
37:16	The calf and his mother finally arrive.
37:28	Day and night,
37:30	scalding water erupts from the subterranean furnace.
37:39	It can kill any animal that falls in.
37:44	But for the herd it's a snow-free oasis.
38:05	At last, they can eat.
38:09	The grass is last season's, but it does the job.
38:16	This meal comes with a price.
38:20	The geyser water deposits fine grains of silica
38:23	all over the grass.
38:26	Bison can live for 20 years,
38:28	but this sandy grass may grind down their teeth in only 12,
38:33	and then they'll starve to death.
38:36	For the bison, these hot springs are both salvation and curse.
38:51	Their presence is felt throughout the park.
39:06	All this hot water creates
39:08	one of the most unique river systems in the world.
39:13	Every second, over 500 gallons
39:16	pours into Yellowstone's Firehole River,
39:19	warming it by up to 18 degrees.
39:26	So this river never freezes.
39:30	It's a natural, warm sanctuary in a frozen world.
39:40	The desperate otters are into their tenth mile.
39:51	But finally, the sound of survival.
40:25	The pup's hungry enough to catch his own fish.
40:30	He's faced Yellowstone's dangers and survived.
40:38	He's ready to set out on his own.
40:47	But maybe not just yet.
40:59	Under the ice, the beaver family has weathered well
41:02	through four months of winter.
41:14	There's still plenty of food on the table.
41:18	Which is good,
41:19	'cause Mom and Dad have three new mouths to feed.
41:24	Making it seven kids in all.
41:28	They've worked hard for their success.
41:32	But their victory is part of a bigger picture
41:34	that starts with the wolves.
41:39	Wolves hunt elk,
41:41	which means elk may eat fewer of the beaver's trees.
41:49	Successful beaver ponds are popular with trout.
41:59	Otters love trout.
42:07	Fewer elk also means less competition for bison,
42:12	whose population is now thriving.
42:17	Wolves spark an ecological chain reaction
42:21	that benefits many who live here.
42:26	But for it all to work,
42:29	the wolves must do their job...
42:35	kill.
42:38	The Dark Wolf and her pack haven't eaten in days.
42:49	But they have a target.
42:51	A yearling.
43:04	The Dark Wolf drives the elk into deeper snow
43:07	where she'll have the advantage.
43:15	The others now know what to do.
43:24	They choose their target well.
43:27	The yearling is tiring.
43:40	At last, the pack has learned how to hunt together.
43:48	With this kill they've turned Yellowstone's savage winter
43:52	into their ally.
43:56	And with their success, all of Yellowstone will triumph.
